mode,seed_index,height,complexity,constraint_id,constraint_name,k,width,table_bytes,par,retries,hidden_bytes,hidden_validation_steps,hidden_validation_allocations,table_validation_steps,table_validation_allocations
global,8,16,4095,1,no-digits,8,24,246,30,0,30,97,97,388,669
global,8,255,16,0,none,3,6,64,25,0,25,43,34,55,82
global,8,255,255,0,none,3,7,80,30,0,30,37,37,73,154
global,8,255,256,1,no-digits,3,7,118,30,0,30,43,34,79,178
global,8,255,512,0,none,4,8,117,30,1,30,57,29,94,137
global,8,255,1024,2,no-quote,5,10,92,29,0,29,61,56,123,128
global,8,255,2560,1,no-digits,8,18,246,35,1,35,125,73,340,477
global,8,255,4095,4,builtin-cap,8,24,288,37,0,37,145,105,420,797
global,8,4096,16,0,none,3,6,96,30,0,30,37,37,73,154
global,8,4096,255,0,none,3,7,89,24,0,24,34,40,73,154
global,8,4096,256,3,letrec-required,3,7,109,57,0,57,55,58,91,184
global,8,4096,512,1,no-digits,4,8,134,30,0,30,49,49,118,233
global,8,4096,1024,7,fold-required,5,10,179,51,0,51,101,111,192,339
global,8,4096,2560,7,fold-required,8,18,319,61,1,61,193,193,468,885
global,8,4096,4095,2,no-quote,8,24,175,41,0,41,129,89,297,305
global,9,0,16,0,none,3,6,90,27,0,27,43,34,67,130
global,9,0,255,0,none,3,7,90,27,0,27,43,34,67,130
global,9,0,256,3,letrec-required,3,7,119,56,0,56,61,64,85,160
global,9,0,512,3,letrec-required,4,8,148,57,0,57,73,77,142,273
global,9,0,1024,2,no-quote,5,10,110,25,1,25,71,56,123,128
global,9,0,2560,2,no-quote,8,18,211,30,0,30,97,57,297,305
global,9,0,4095,2,no-quote,8,24,184,25,0,25,113,89,297,305
global,9,1,16,0,none,3,6,84,30,0,30,40,22,55,82
global,9,1,255,0,none,3,7,83,28,0,28,37,28,73,154
global,9,1,256,5,single-lambda,3,7,87,28,0,28,37,28,73,154
global,9,1,512,3,letrec-required,4,8,149,56,0,56,81,85,134,241
global,9,1,1024,6,small-literals,5,10,157,28,0,28,61,46,172,324
global,9,1,2560,1,no-digits,8,18,256,37,1,37,135,73,340,477
global,9,1,4095,1,no-digits,8,24,294,35,0,35,121,121,404,733
global,9,16,16,0,none,3,6,87,28,0,28,37,28,73,154
global,9,16,255,0,none,3,7,66,24,0,24,43,34,55,82
global,9,16,256,5,single-lambda,3,7,81,30,0,30,38,22,55,82
global,9,16,512,5,single-lambda,4,8,114,30,0,30,55,29,94,137
global,9,16,1024,4,builtin-cap,5,10,166,30,0,30,71,56,182,364
global,9,16,2560,2,no-quote,8,18,178,25,1,25,113,89,297,305
global,9,16,4095,7,fold-required,8,24,287,63,0,63,177,337,436,757
global,9,255,16,0,none,3,6,75,30,0,30,37,37,73,154
global,9,255,255,0,none,3,7,87,24,0,24,34,40,73,154
global,9,255,256,1,no-digits,3,7,98,24,0,24,34,40,73,154
global,9,255,512,1,no-digits,4,8,115,24,0,24,45,53,118,233
global,9,255,1024,1,no-digits,5,10,142,30,0,30,64,36,142,204
global,9,255,2560,6,small-literals,8,18,286,28,0,28,97,137,388,669
global,9,255,4095,6,small-literals,8,24,278,39,0,39,129,249,388,669
global,9,4096,16,0,none,3,6,78,27,0,27,43,34,67,130
global,9,4096,255,0,none,3,7,74,30,0,30,34,22,55,82
global,9,4096,256,5,single-lambda,3,7,77,30,0,30,36,22,55,82
global,9,4096,512,1,no-digits,4,8,112,30,0,30,53,29,94,137
global,9,4096,1024,6,small-literals,5,10,123,24,0,24,56,66,172,324
global,9,4096,2560,4,builtin-cap,8,18,245,35,1,35,123,73,340,477
global,9,4096,4095,4,builtin-cap,8,24,240,37,0,37,89,73,372,605
global,10,0,16,0,none,3,6,90,27,0,27,43,34,67,130
global,10,0,255,0,none,3,7,90,27,0,27,43,34,67,130
global,10,0,256,3,letrec-required,3,7,119,56,0,56,61,64,85,160
global,10,0,512,3,letrec-required,4,8,148,57,0,57,73,77,142,273
