mode,seed_index,height,complexity,constraint_id,constraint_name,k,width,table_bytes,par,retries,hidden_bytes,hidden_validation_steps,hidden_validation_allocations,table_validation_steps,table_validation_allocations
global,9,1,16,0,none,3,6,80,30,0,30,40,22,55,82
global,9,1,255,0,none,3,7,76,27,0,27,37,28,73,154
global,9,1,256,5,single-lambda,3,7,80,27,0,27,37,28,73,154
global,9,1,512,3,letrec-required,4,8,142,54,0,54,81,85,134,241
global,9,1,1024,6,small-literals,5,10,144,27,0,27,61,46,172,324
global,9,1,2560,1,no-digits,8,18,242,35,1,35,135,73,340,477
global,9,1,4095,1,no-digits,8,24,272,32,0,32,121,121,404,733
global,9,16,16,0,none,3,6,80,27,0,27,37,28,73,154
global,9,16,255,0,none,3,7,100,29,1,29,37,37,73,154
global,9,16,256,5,single-lambda,3,7,77,30,0,30,38,22,55,82
global,9,16,512,5,single-lambda,4,8,108,30,0,30,55,29,94,137
global,9,16,1024,4,builtin-cap,5,10,153,28,0,28,71,56,182,364
global,9,16,2560,2,no-quote,8,18,172,24,1,24,113,89,297,305
global,9,16,4095,7,fold-required,8,24,272,60,0,60,177,337,436,757
global,9,255,16,0,none,3,6,71,29,0,29,37,37,73,154
global,9,255,255,0,none,3,7,87,29,1,29,37,37,73,154
global,9,255,256,1,no-digits,3,7,110,29,2,29,37,37,73,154
global,9,255,512,1,no-digits,4,8,121,26,2,26,49,69,118,233
global,9,255,1024,1,no-digits,5,10,134,30,0,30,64,36,142,204
global,9,255,2560,6,small-literals,8,18,256,26,0,26,97,137,388,669
global,9,255,4095,6,small-literals,8,24,256,37,0,37,129,249,388,669
global,9,4096,16,0,none,3,6,74,26,0,26,43,34,67,130
global,9,4096,255,0,none,3,7,70,30,0,30,34,22,55,82
global,9,4096,256,5,single-lambda,3,7,73,30,0,30,36,22,55,82
global,9,4096,512,1,no-digits,4,8,106,30,0,30,53,29,94,137
global,9,4096,1024,6,small-literals,5,10,140,29,2,29,61,61,172,324
global,9,4096,2560,4,builtin-cap,8,18,231,33,1,33,123,73,340,477
global,9,4096,4095,4,builtin-cap,8,24,218,36,0,36,89,73,372,605
global,10,0,16,0,none,3,6,86,26,0,26,43,34,67,130
global,10,0,255,0,none,3,7,86,26,0,26,43,34,67,130
global,10,0,256,3,letrec-required,3,7,114,54,0,54,61,64,85,160
global,10,0,512,3,letrec-required,4,8,137,55,0,55,73,77,142,273
global,10,0,1024,2,no-quote,5,10,107,24,1,24,71,56,123,128
global,10,0,2560,2,no-quote,8,18,197,30,0,30,97,57,297,305
global,10,0,4095,2,no-quote,8,24,178,24,0,24,113,89,297,305
global,10,1,16,0,none,3,6,89,29,3,29,37,37,73,154
global,10,1,255,0,none,3,7,86,26,0,26,43,34,67,130
global,10,1,256,5,single-lambda,3,7,88,27,0,27,37,28,73,154
global,10,1,512,5,single-lambda,4,8,129,27,0,27,49,37,118,233
global,10,1,1024,4,builtin-cap,5,10,165,27,0,27,61,46,172,324
global,10,1,2560,4,builtin-cap,8,18,249,29,0,29,97,97,388,669
global,10,1,4095,7,fold-required,8,24,290,50,0,50,145,161,436,757
global,10,16,16,0,none,3,6,89,29,0,29,37,37,73,154
global,10,16,255,0,none,3,7,89,29,0,29,37,37,73,154
global,10,16,256,3,letrec-required,3,7,104,58,0,58,58,52,73,112
global,10,16,512,3,letrec-required,4,8,157,57,0,57,73,109,142,273
global,10,16,1024,4,builtin-cap,5,10,152,29,0,29,61,61,172,324
global,10,16,2560,2,no-quote,8,18,161,50,0,50,249,305,297,305
global,10,16,4095,2,no-quote,8,24,235,33,3,33,147,131,365,357
global,10,255,16,0,none,3,6,67,30,0,30,32,22,55,82
global,10,255,255,0,none,3,7,84,26,0,26,43,34,67,130
global,10,255,256,1,no-digits,3,7,85,24,0,24,34,40,73,154
global,10,255,512,3,letrec-required,4,8,140,54,0,54,81,85,134,241
global,10,255,1024,2,no-quote,5,10,88,27,0,27,61,56,123,128
global,10,255,2560,4,builtin-cap,8,18,239,26,0,26,97,137,388,669
global,10,255,4095,2,no-quote,8,24,202,32,0,32,111,73,297,305
global,10,4096,16,0,none,3,6,89,29,0,29,37,37,73,154
global,10,4096,255,0,none,3,7,96,28,1,28,43,34,79,178
global,10,4096,256,0,none,3,7,74,30,0,30,36,22,55,82
global,10,4096,512,3,letrec-required,4,8,141,51,0,51,69,93,142,273
global,10,4096,1024,6,small-literals,5,10,149,29,0,29,61,61,172,324
global,10,4096,2560,2,no-quote,8,18,168,38,0,38,129,89,297,305
global,10,4096,4095,2,no-quote,8,24,228,33,0,33,131,73,297,305
global,11,0,16,0,none,3,6,86,26,0,26,43,34,67,130
global,11,0,255,0,none,3,7,86,26,0,26,43,34,67,130
global,11,0,256,3,letrec-required,3,7,114,54,0,54,61,64,85,160
